CRED HRS,LOAD,"Part
Time","
Dept","
Subj","
Numb","
CRN","
Course Title","Begin
Time","End 
Time","
Days","
Bldg","
Room","
Schd","
Instructor",CRED HRS,LOAD,"
Cap","Avail
Seats","Low 
Enrl","
Closed"
201490,HM,1,ART,HUM,330,13223,Arts and Ideas-HON,1230,1420,TR,RUPP,203,A,Rachel Smith,3,3,15,6,,
201490,HM,H1,ART,ART,154,14388,Digital Tools: Illustrator,1000,1050,TR,MMVA,207,G,Christopher Baker,1,1,21,0,,YES
201490,HM,H1,ART,ART,156,16369,Digital Tools: Photoshop,900,950,TR,MMVA,207,G,Curtis Ellis,1,1,21,3,,
201490,HM,H1,ART,ART,157,16386,Digital Tools: InDesign,930,1020,TR,RUPP,229,G,Art Adjunct,1,1,18,10,,
201490,HM,H2,ART,ART,156,15443,Digital Tools: Photoshop,900,950,TR,MMVA,207,G,Curtis Ellis,1,1,21,0,,YES
201490,HM,H2,ART,ART,157,16009,Digital Tools: InDesign,930,1020,TR,RUPP,229,G,Art Adjunct,1,1,19,11,,
201490,HM,H2,ART,ART,157,16387,Digital Tools: InDesign,1230,1320,TR,RUPP,229,G,Art Adjunct,1,1,18,3,,
201510,HM,1,ART,ART,156,20937,Digital Tools: Photoshop,800,950,RF,MMVA,207,G,Curtis Ellis,1,1,21,21,YES,
201510,HM,1,ART,ART,157,21022,Digital Tools: InDesign,1100,1250,RF,MMVA,207,G,Curtis Ellis,1,1,21,21,YES,
201510,HM,1,ART,HUM,250C,21293,P.A. Ceramics,1300,1450,MTWRF,MMVA,108,G,Susan Nace,1,1,12,12,YES,
201510,HM,1,ART,HUM,250C,21294,P.A. Ceramics,1500,1650,MTWRF,MMVA,108,G,Susan Nace,1,1,12,12,YES,
201510,HM,1,ART,HUM,250D,21048,P.A. Drawing,1200,1250,MTWRF,MMVA,210,G,Art Adjunct,1,1,15,15,YES,
201510,HM,1,ART,HUM,330H,21400,Arts and Ideas in China-Hon,,,,,,A,Rachel Smith,4,4,15,15,YES,
201510,HM,1,ART,HUM,170,21379,Surv 20th Cent Mus/Art:NY,1100,1250,MTWRF,MMVA,2,A,Jonathan Bouw,3,3,23,23,YES,
201510,HM,1,ART,HUM,370,21380,Surv 20th Cent Mus/Art:NY,1100,1250,MTWRF,MMVA,2,A,Jonathan Bouw,0,0,23,23,YES,
201520,HM,1,ART,ART,101,30001,Drawing I,1800,2130,M,MMVA,210,G,Suzanne Dittenber,3,3,20,20,YES,
201520,HM,1,ART,ART,151,33752,Two-Dimensional Design,1230,1420,TR,MMVA,206,G,Susan Nace,3,3,20,20,YES,
